point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,曹晓燕2004/本人记音
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,N,挼,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,N,糯,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,N,懦,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,L,骡,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,L,螺,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,L,脶,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,L,啰,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,L,裸,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,L,摞,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,锉,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,坐,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,座,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,蓑,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,梭,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,唆,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,锁,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,琐,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,TS,唢,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,过,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,锅,əɯ,火～,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,戈,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,果,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,裹,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,餜,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,过,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,科,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,窠,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,棵,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,髁,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,蝌,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,颗,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,课,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,讹,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,卧,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,火,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,伙,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,货,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,和,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,禾,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,祸,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,和,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,倭,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,窝,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,涡,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,莴,u,～苣,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,瘸,yəʔ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,靴,yʊ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,巴,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,芭,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,疤,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,笆,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,吧,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,把,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,靶,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,霸,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,欛,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,壩,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,坝,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,爸,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,怕,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,帕,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,爬,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,琶,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,杷,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,钯,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,P,耙,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,M,麻,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,M,痲,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,M,蟆,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,M,妈,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,M,马,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,M,码,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,M,玛,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,M,蚂,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,M,骂,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,N,拿,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS,茶,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS,搽,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,楂,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,渣,əɯ,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,诈,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,榨,əɯ,～菜,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,炸,a/əɯ,文读/白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,叉,əɯ,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,杈,əɯ,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,差,a,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,岔,əɯ,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,差,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,查,a/əɯ,姓/～桥,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,乍,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,沙,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,纱,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,痧,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,砂,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,鲨,əɯ,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,裟,əɯ,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,洒,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,TS*,厦,a/ia,大～/～门,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,家,a/a,大～/夏～边,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,傢,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,加,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,痂,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,嘉,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,枷,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,袈,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,假,a/ia,真～/放～,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,贾,ia,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,假,a/ia,真～/放～,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,架,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,驾,ia,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,嫁,u/a,白读/文读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,稼,ia,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,价,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,揢,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,牙,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,芽,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,衙,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,伢,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,蚜,a,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,雅,ia,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,K,砑,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,虾,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,霞,ia,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,瑕,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,遐,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,下,u,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,夏,u,～家边/,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,厦,a/ia,大～/～门,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,下,u,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,夏,u,～家边/,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,暇,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,鸦,u,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,丫,u,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,桠,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,哑,u,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,麻,Ø,亚,ia,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,补,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,谱,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,哺,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,布,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,佈,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,铺,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,潽,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,普,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,浦,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,铺,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,怖,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,蒲,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,菩,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,脯,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,葡,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,莆,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,部,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,簿,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,篰,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,步,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,捕,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,P,埠,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,M,模,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,M,模,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,M,摹,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,M,姥,ʌ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,M,暮,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,M,慕,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,M,墓,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,M,募,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,M,睦,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,都,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,都,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,赌,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,堵,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,肚,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,睹,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,妒,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,土,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,吐,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,吐,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,兔,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,徒,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,屠,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,途,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,涂,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,图,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,杜,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,肚,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,度,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,渡,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,T,镀,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,N,奴,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,N,努,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,N,怒,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,卢,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,炉,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,芦,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,鸬,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,颅,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,鲈,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,鲁,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,橹,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,虏,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,卤,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,路,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,赂,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,露,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,L,鹭,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,租,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,祖,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,组,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,做,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,粗,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,醋,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,措,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,错,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,苏,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,酥,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,素,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,诉,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,塑,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,TS,嗉,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,姑,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,孤,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,箍,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,辜,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,菇,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,鸪,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,蛄,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,古,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,估,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,盬,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,牯,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,股,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,鼓,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,蛊,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,故,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,固,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,锢,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,雇,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,顾,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,枯,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,苦,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,库,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,裤,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,吴,u/ŋ,文读/～桥,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,蜈,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,吾,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,梧,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,五,u,文读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,伍,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,午,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,忤,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,误,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,K,悟,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,Ø,呼,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,Ø,虎,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,Ø,浒,u,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,模,Ø,琥,u,,
