point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,周静梅2024
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,Ø,阿,ʊ,～弥陀佛,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,茄,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,波,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,跛,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,播,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,颇,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,破,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,婆,u,阿～,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,P,薄,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,M,魔,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,M,磨,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,M,摩,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,M,馍,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,M,磨,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,T,朵,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,T,躲,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,T,剁,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,T,妥,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,T,椭,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,T,唾,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,T,砣,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,T,惰,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,T,垛,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,T,堕,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,N,挼,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,N,糯,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,N,懦,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,L,骡,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,L,螺,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,L,脶,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,L,啰,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,L,裸,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,L,摞,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,锉,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,坐,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,座,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,蓑,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,梭,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,唆,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,锁,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,琐,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,TS,唢,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,锅,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,戈,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,果,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,裹,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,餜,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,科,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,窠,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,棵,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,髁,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,蝌,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,颗,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,课,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,讹,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,K,卧,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,火,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,伙,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,货,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,禾,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,祸,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,倭,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,窝,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,涡,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,莴,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,靴,iəu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,巴,ʊ/ɒ,白读～结/文读,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,芭,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,疤,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,笆,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,吧,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,把,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,靶,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,霸,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,欛,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,壩,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,坝,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,爸,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,怕,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,帕,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,爬,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,琶,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,杷,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,钯,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,P,耙,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,M,麻,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,M,痲,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,M,蟆,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,M,妈,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,M,马,ʊ/ɒ,白读/文读～虎,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,M,码,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,M,玛,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,M,蚂,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,M,骂,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,N,拿,ʊ,～手,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS,茶,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS,搽,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,楂,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,渣,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,诈,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,榨,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,炸,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,叉,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,杈,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,差,ʊ,白读～勿多,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,岔,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,差,ʊ,白读～勿多,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,查,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,乍,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,沙,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,纱,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,痧,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,砂,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,鲨,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,裟,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,洒,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,TS*,厦,iɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,家,ɒ,白读成～/,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,傢,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,加,ɒ,白读,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,痂,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,嘉,ɒ,白读～兴,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,枷,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,袈,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,假,ɒ,白读,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,贾,iɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,假,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,架,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,驾,iɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,嫁,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,稼,iɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,价,ɒ,白读,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,揢,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,牙,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,芽,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,衙,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,伢,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,蚜,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,雅,iɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,K,砑,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,虾,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,霞,iɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,瑕,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,遐,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,下,ʊ/iɒ,白读/文读～午,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,夏,ʊ,～天,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,厦,ʊ,～门,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,下,ʊ/iɒ,白读/文读～午,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,夏,ʊ,～天,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,暇,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,鸦,ʊ/iɒ,白读/文读～雀无声,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,丫,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,桠,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,哑,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,麻,Ø,亚,iɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,补,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,谱,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,哺,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,布,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,佈,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,铺,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,潽,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,普,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,浦,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,铺,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,怖,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,蒲,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,菩,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,脯,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,葡,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,莆,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,部,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,簿,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,篰,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,步,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,捕,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,P,埠,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,M,模,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,M,模,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,M,摹,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,M,姥,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,M,暮,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,M,慕,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,M,墓,əu,文读陈～,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,M,募,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,M,睦,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,都,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,都,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,赌,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,堵,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,睹,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,妒,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,土,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,兔,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,徒,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,屠,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,途,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,涂,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,图,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,杜,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,度,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,渡,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,T,镀,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,N,奴,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,N,努,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,N,怒,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,卢,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,炉,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,芦,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,鸬,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,颅,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,鲈,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,鲁,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,橹,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,虏,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,卤,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,路,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,赂,iøʔ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,露,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,L,鹭,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,租,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,祖,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,组,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,做,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,粗,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,醋,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,措,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,错,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,苏,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,酥,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,素,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,诉,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,塑,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,TS,嗉,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,姑,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,孤,ʊ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,箍,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,辜,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,菇,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,鸪,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,蛄,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,古,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,估,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,盬,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,牯,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,股,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,鼓,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,蛊,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,故,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,固,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,锢,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,雇,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,顾,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,枯,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,苦,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,库,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,裤,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,吴,u,文读口天～,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,蜈,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,吾,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,梧,u/əu,～桐/魁～,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,五,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,伍,u,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,午,u,文读下～/,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,模,K,忤,,,
