point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吴县方言志1978
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,琐,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,唢,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,锅,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,戈,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,果,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,裹,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,餜,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,科,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,窠,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,棵,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,髁,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,蝌,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,颗,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,课,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,讹,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,卧,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,火,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,伙,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,货,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,和,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,禾,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,祸,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,和,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,倭,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,窝,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,涡,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,莴,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,靴,io,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,巴,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,芭,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,疤,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,笆,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,吧,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,把,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,靶,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,霸,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,欛,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,壩,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,坝,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,爸,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,怕,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,帕,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,爬,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,琶,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,杷,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,钯,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,P,耙,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,M,麻,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,M,痲,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,M,蟆,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,M,妈,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,M,马,a,～上,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,M,码,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,M,玛,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,M,蚂,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,M,骂,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,N,拿,æ/o,白读/文读,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS,茶,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS,搽,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,楂,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,渣,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,诈,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,榨,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,炸,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,叉,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,杈,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,岔,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,查,o,姓,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,乍,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,沙,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,纱,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,痧,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,砂,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,鲨,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,裟,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,洒,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,TS*,厦,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,家,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,傢,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,加,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,痂,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,嘉,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,枷,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,袈,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,假,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,贾,ia,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,假,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,架,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,驾,ia,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,嫁,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,稼,ia,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,价,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,揢,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,牙,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,芽,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,衙,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,伢,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,蚜,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,雅,ia,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,K,砑,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,虾,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,霞,io,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,瑕,io,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,遐,io,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,厦,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,夏,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,暇,io,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,鸦,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,丫,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,桠,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,哑,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,麻,Ø,亚,io,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,补,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,谱,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,哺,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,布,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,佈,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,铺,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,潽,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,普,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,浦,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,铺,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,怖,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,蒲,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,菩,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,脯,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,葡,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,莆,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,部,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,簿,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,篰,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,步,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,捕,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,P,埠,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,M,模,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,M,模,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,M,摹,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,M,姥,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,M,暮,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,M,慕,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,M,墓,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,M,募,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,M,睦,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,都,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,都,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,赌,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,堵,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,睹,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,妒,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,土,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,兔,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,徒,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,屠,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,途,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,涂,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,图,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,杜,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,度,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,渡,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,T,镀,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,N,奴,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,N,努,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,N,怒,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,卢,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,炉,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,芦,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,鸬,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,颅,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,鲈,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,鲁,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,橹,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,虏,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,卤,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,路,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,赂,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,露,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,L,鹭,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,租,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,祖,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,组,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,做,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,粗,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,醋,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,措,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,错,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,苏,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,酥,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,素,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,诉,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,塑,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,TS,嗉,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,姑,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,孤,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,箍,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,辜,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,菇,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,鸪,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,蛄,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,古,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,估,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,盬,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,牯,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,股,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,鼓,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,蛊,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,故,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,固,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,锢,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,雇,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,顾,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,枯,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,苦,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,库,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,裤,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,吴,əu,文读,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,蜈,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,吾,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,梧,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,五,əu,文读,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,伍,əu,文读,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,午,əu,文读,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,忤,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,误,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,模,K,悟,əu,,
